group,variant,size,threads,run,time_s,init_s,matvec_s,checksum
task3_1,matvec_threads,200,1,1,0.000134,0.000077,0.000057,287.519117
task3_1,matvec_threads,200,1,2,0.000141,0.000078,0.000063,287.519117
task3_1,matvec_threads,200,2,1,0.000169,0.000101,0.000068,287.519117
task3_1,matvec_threads,200,2,2,0.000100,0.000053,0.000047,287.519117
task3_1,matvec_threads,400,1,1,0.000264,0.000153,0.000111,577.380427
task3_1,matvec_threads,400,1,2,0.000298,0.000184,0.000113,577.380427
task3_1,matvec_threads,400,2,1,0.000184,0.000108,0.000076,577.380427
task3_1,matvec_threads,400,2,2,0.000236,0.000131,0.000105,577.380427
